Unnamed: 0,id,state,guests,beds,property_type,n_reviews,rating,price,neighborhood,city
478,BG8077,Illinois,2,1,Apartment,76.0,99.0,48,Wrigleyville,Chicago
479,BR2480,Illinois,2,1,Apartment,24.0,92.0,64,West Town/Noble Square,Chicago
480,TJ8008,California,2,1,Apartment,2.0,100.0,100,Silver Lake,Los Angeles
481,KZ3473,Massachusetts,2,1,House,37.0,93.0,110,Jamaica Plain,Boston
482,TC1202,Illinois,5,2,Apartment,42.0,97.0,169,Bucktown,Chicago
483,DT7557,California,5,1,Condominium,46.0,94.0,127,Downtown,Los Angeles
484,NL4585,Massachusetts,2,1,House,66.0,90.0,119,Allston-Brighton,Boston
485,LE7409,California,4,3,House,15.0,100.0,100,Los Feliz,Los Angeles
486,AV3392,Massachusetts,5,2,Apartment,12.0,98.0,150,Fenway/Kenmore,Boston
487,FT6599,Massachusetts,4,1,House,2.0,100.0,125,West Roxbury,Boston
488,GY2506,Massachusetts,2,1,Apartment,38.0,99.0,175,South Boston,Boston
489,ZT5326,California,4,2,House,29.0,97.0,150,Hermosa Beach,Los Angeles
490,VA1941,Massachusetts,2,1,Apartment,1.0,99.0,100,South Boston,Boston
491,NK5610,Illinois,6,3,Apartment,27.0,95.0,100,Logan Square,Chicago
492,ES7972,Massachusetts,2,1,Apartment,3.0,99.0,139,Fenway/Kenmore,Boston
494,YD6612,California,4,3,Apartment,28.0,96.0,125,Ingleside,San Francisco
495,ML7109,California,2,1,Apartment,197.0,96.0,125,Ingleside,San Francisco
496,UD8253,Massachusetts,3,1,Apartment,1.0,100.0,124,Fenway/Kenmore,Boston
497,MY2186,Massachusetts,2,1,Apartment,1.0,80.0,132,South Boston,Boston
498,NW1547,California,2,2,Bed & Breakfast,135.0,86.0,74,Culver City,Los Angeles
499,TT1073,Massachusetts,2,1,House,116.0,93.0,59,Roxbury,Boston
500,AL7285,California,2,1,Guesthouse,11.0,84.0,59,Visitacion Valley,San Francisco
501,WE8338,Illinois,3,1,Apartment,19.0,97.0,100,Lincoln Park,Chicago
502,QN1297,California,2,1,Bed & Breakfast,152.0,99.0,104,Westside,Los Angeles
503,NI8968,Massachusetts,2,1,Condominium,2.0,99.0,139,Back Bay,Boston
504,CG5924,California,4,2,Apartment,36.0,94.0,139,West Hollywood,Los Angeles
505,CC3288,California,2,1,House,7.0,96.0,70,Silver Lake,Los Angeles
506,ER9850,California,2,1,House,66.0,95.0,100,Westside,Los Angeles
507,SH7429,California,4,2,Apartment,58.0,99.0,190,Mission District,San Francisco
508,BI5135,Illinois,4,2,Condominium,37.0,94.0,147,Ukrainian Village,Chicago
509,FL8660,Massachusetts,1,1,Apartment,7.0,94.0,53,Allston-Brighton,Boston
510,JD2679,California,4,2,Guesthouse,1.0,100.0,149,Studio City,Los Angeles
511,YW6198,California,4,2,House,178.0,95.0,100,Mid-Wilshire,Los Angeles
512,AT6016,California,1,1,Apartment,4.0,65.0,104,Westwood,Los Angeles
513,IU8070,California,2,1,In-law,167.0,92.0,144,Noe Valley,San Francisco
514,AS5102,Illinois,2,1,House,111.0,97.0,54,Little Village,Chicago
515,HE5037,California,2,1,House,23.0,97.0,119,Noe Valley,San Francisco
516,RW2361,California,2,1,House,14.0,89.0,74,Long Beach,Los Angeles
517,RI8091,California,3,1,House,90.0,90.0,64,Mar Vista,Los Angeles
518,RK1171,Massachusetts,4,2,Apartment,5.0,93.0,199,South End,Boston
519,EK1497,Massachusetts,2,1,Condominium,17.0,98.0,135,South Boston,Boston
520,SO8767,Illinois,4,2,Condominium,4.0,98.0,119,Ukrainian Village,Chicago
521,DW2170,Illinois,1,1,Apartment,3.0,100.0,59,Bronzeville,Chicago
522,IP1265,California,1,1,Apartment,1.0,98.0,100,SoMa,San Francisco
523,FJ4847,Massachusetts,4,2,Apartment,21.0,95.0,128,Downtown Crossing,Boston
524,PS6026,Massachusetts,2,1,Condominium,3.0,99.0,139,West End,Boston
525,TK2242,California,2,1,Apartment,4.0,100.0,119,Studio City,Los Angeles
526,AF1699,California,2,1,Townhouse,30.0,97.0,79,Long Beach,Los Angeles
